ingest:	CDL Development Ingest
submissionDate:	2022-05-06T15:23:42-07:00
batch:	bid-00000000-0000-0000-0000-000000000000
job:	jid-00000000-0000-0000-0000-000000000000
userAgent:	integration test user
file:	Hello File
type:	file
profile:	merritt_content
collection:	ark:/99999/fk4q24532
storageService:	http://store-dev.cdlib.org:35121
storageNode:	7777
notification:	mark.reyes@ucop.edu
suppliedIdentifier:	(:unas)
digestType:	(:unas)
digestValue:	(:unas)
creator:	Merritt Team
title:	Hello File
date:	2022
localIdentifier:	my-local-id
note:	(:unas)
containerValidity:	n/a
assignedIdentifier:	ark:/99999/fk4xw4m06q
retrievedIdentifier:	(:unas)
handlers:	org.cdlib.mrt.ingest.handlers.HandlerInitialize/not-available,org.cdlib.mrt.ingest.handlers.HandlerAccept/not-available,org.cdlib.mrt.ingest.handlers.HandlerVerify/not-available,org.cdlib.mrt.ingest.handlers.HandlerDisaggregate/not-available,org.cdlib.mrt.ingest.handlers.HandlerRetrieve/not-available,org.cdlib.mrt.ingest.handlers.HandlerCorroborate/not-available,org.cdlib.mrt.ingest.handlers.HandlerCharacterize/not-available,org.cdlib.mrt.ingest.handlers.HandlerMinter/not-available,org.cdlib.mrt.ingest.handlers.HandlerDescribe/not-available,org.cdlib.mrt.ingest.handlers.HandlerDocument/not-available,org.cdlib.mrt.ingest.handlers.HandlerDigest/not-available,org.cdlib.mrt.ingest.handlers.HandlerTransfer/not-available,org.cdlib.mrt.ingest.handlers.HandlerNotification/not-available,org.cdlib.mrt.ingest.handlers.HandlerInventoryQueue/not-available,org.cdlib.mrt.ingest.handlers.HandlerCleanup/not-available
